iso3,country_name,income_tier,mean_brightness,total_light,p90_brightness,lit_fraction,light_density,spatial_dispersion,hotspot_count,gini,entropy,urban_concentration
JOR,Jordan,Upper-Middle,0.013131683692336082,53.787376403808594,0.008450062945485115,0.096435546875,0.13449952006340027,0.25297501434004843,20,0.7548221443947667,3.9086169455462954,0.30307742953300476
KAZ,Kazakhstan,Upper-Middle,0.007551075424998999,30.9292049407959,0.002779132453724742,0.0537109375,0.13370434939861298,0.35294815598088164,26,0.8984644353803455,3.2276561891216806,0.37308311462402344
LBN,Lebanon,Upper-Middle,0.024925071746110916,102.09309387207031,0.05999153107404709,0.246826171875,0.09969574958086014,0.31626400113263564,40,0.6705454530820696,3.443398100447169,0.3458961844444275
LBY,Libya,Upper-Middle,0.006575834937393665,26.934619903564453,9.583613427821547e-05,0.04443359375,0.144930899143219,0.3235975035376064,28,0.8486542679705877,3.806079634922958,0.3336353302001953
MDA,Moldova,Upper-Middle,0.013564297929406166,55.559364318847656,0.01637009158730507,0.127685546875,0.10234767943620682,0.28290008508054476,41,0.804997692919379,3.256313219882405,0.40387216210365295
MEX,Mexico,Upper-Middle,0.015421289019286633,63.16559982299805,0.013520635664463043,0.115234375,0.1293405145406723,0.31553897828979593,61,0.8504468933905849,3.523315939539542,0.3608674108982086
MKD,North Macedonia,Upper-Middle,0.023392625153064728,95.81619262695312,0.04175194352865219,0.19091796875,0.11923345923423767,0.3525285786730077,51,0.7966041389552132,3.580022270950026,0.3618767559528351
MNE,Montenegro,Upper-Middle,0.014216996729373932,58.232818603515625,0.01394688617438078,0.111328125,0.12504109740257263,0.2700506519689837,24,0.77839953271941,3.714801732533915,0.34236642718315125
MYS,Malaysia,Upper-Middle,0.012527700513601303,51.31346130371094,0.0049974145367741585,0.07958984375,0.1536194533109665,0.3293995161710601,26,0.8640639204761587,3.900828118335189,0.30542877316474915
NAM,Namibia,Upper-Middle,0.003761537838727236,15.407258987426758,0.0,0.026611328125,0.13691052794456482,0.3251227058172892,28,0.866706930613351,3.491404912557394,0.3591197431087494
PER,Peru,Upper-Middle,0.012571288272738457,51.49199676513672,0.008353570476174355,0.091796875,0.13257543742656708,0.3366547909539521,60,0.8493393192924614,3.5895219754128354,0.3501074016094208
PRY,Paraguay,Upper-Middle,0.0078213419765234,32.036216735839844,0.004384378902614117,0.072021484375,0.10402892529964447,0.20898521641093465,25,0.8731754973488794,3.0370058503556328,0.443838894367218
RUS,Russia,Upper-Middle,0.005156148690730333,21.119585037231445,0.00011003937106579542,0.03955078125,0.12633857131004333,0.29748693102453505,22,0.8244682235403951,3.616384240742995,0.378221720457077
